tag,month,day,place,latitude,longitude,date
경기 확진자,8,29,안중보건지소,36.98599579817493,126.93145976490489,8/29
경기 확진자,8,27,서정리역 1호선,37.056563702165505,127.052881703722,8/27
경기 확진자,8,24,마성떡볶이 평택역점,36.991097598149,127.08542601965001,8/24
경기 확진자,8,20,봉봉 소아청소년과의원,37.01754715006211,126.915987219693,8/20
경기 확진자,8,23,서해로교회,37.01599329145389,126.946382317172,8/23
경기 확진자,8,23,대한독도횟집,36.987991313631106,126.915485057137,8/23
경기 확진자,8,26,안중제일신협 본점,36.984410505376594,126.92943490057,8/26
경기 확진자,8,20,소나무가든,37.004192033354,126.94484465660301,8/20
경기 확진자,8,24,소림사 안중점,36.982780484623994,126.92800320951999,8/24
경기 확진자,8,26,동화마을잔칫날 안중점,36.9843614076199,126.925759776843,8/26
경기 확진자,8,28,춘향골월매집 전주콩나물국밥,37.001036218826705,126.95742972522301,8/28
경기 확진자,8,22,이승균 이비인후과의원,36.9886834189051,126.93091930177272,8/22
경기 확진자,8,23,갈릴리교회,37.522391030017,126.71131390362702,8/23
경기 확진자,8,19,한빛영수학원,36.99103913232825,126.84590351253331,8/19
경기 확진자,8,21,H마트 안중점,36.98889060503409,126.91549866492699,8/21
경기 확진자,8,19,에녹교회,36.9855986021705,126.92576868377999,8/19
경기 확진자,8,21,이종인어학원,36.97908635888191,126.922781840983,8/21
경기 확진자,8,20,평택안일초등학교,36.9827277669131,126.92437309648699,8/20
경기 확진자,8,20,원정공구철물,37.006226554457,126.82186059832098,8/20
경기 확진자,8,20,대한솔루션 포승공장,36.9820371880032,126.833791294403,8/20
경기 확진자,8,17,사랑의동산교회,37.139563810583816,127.11320363456183,8/17
경기 확진자,8,20,판교에이스당구장,37.39776419799231,127.11142698417501,8/20
경기 확진자,8,18,연세봄이비인후과의원,37.4727195219744,127.14259256440467,8/18
경기 확진자,8,18,그린램프라이브러리독서실 이매캠퍼스,37.405127284613705,127.122416317284,8/18
경기 확진자,8,18,분당H병원,37.376191099977106,127.11036538373499,8/18
경기 확진자,8,18,롯데슈퍼 분당서현점,37.37802751389809,127.13236840386735,8/18
경기 확진자,8,18,오팡,37.37829481280081,127.13248008658202,8/18
경기 확진자,8,18,김복남맥주 성남모란점,37.4329119636727,127.131649779676,8/18
경기 확진자,8,19,통통낙지 분당구미점,37.3399039174053,127.122382599087,8/19
경기 확진자,8,19,백스비어 성남모란점,37.43271850277521,127.13060542949198,8/19
